Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,6.010000,6.020000,5.970000,5.990000,5.634330,5799100
2017-10-25,6.000000,6.050000,5.950000,6.050000,5.690768,14481600
2017-10-26,4.920000,5.000000,4.750000,4.760000,4.477365,75364400
2017-10-27,4.990000,5.000000,4.820000,4.910000,4.618458,43810500
2017-10-30,4.830000,4.870000,4.800000,4.820000,4.533802,20413100
2017-10-31,4.890000,4.900000,4.850000,4.890000,4.599646,15207900
2017-11-01,4.920000,5.000000,4.910000,4.940000,4.646677,15602700
2017-11-02,4.990000,5.030000,4.970000,5.030000,4.731333,12914200
2017-11-03,4.980000,4.980000,4.910000,4.970000,4.674895,10047800
2017-11-06,5.030000,5.140000,5.030000,5.090000,4.787770,21454900
2017-11-07,4.950000,5.080000,4.950000,5.050000,4.750145,27925500
2017-11-08,5.010000,5.050000,5.000000,5.050000,4.750145,16215100
2017-11-09,4.930000,4.970000,4.920000,4.960000,4.665489,18512500
2017-11-10,4.910000,4.950000,4.880000,4.910000,4.618458,19810100
2017-11-13,4.850000,4.890000,4.840000,4.860000,4.571427,10543300
2017-11-14,4.830000,4.840000,4.790000,4.830000,4.543208,8623100
2017-11-15,4.850000,4.890000,4.820000,4.840000,4.552615,15281100
2017-11-16,4.900000,4.950000,4.880000,4.920000,4.627864,14750100
2017-11-17,4.950000,4.970000,4.910000,4.940000,4.646677,8117700
2017-11-20,5.010000,5.050000,4.990000,5.010000,4.712520,17627800
2017-11-21,5.010000,5.070000,5.010000,5.050000,4.750145,15375500
2017-11-22,5.040000,5.060000,5.020000,5.050000,4.750145,7396500
2017-11-24,5.100000,5.110000,5.060000,5.080000,4.778364,3944700
2017-11-27,5.010000,5.050000,5.000000,5.010000,4.712520,9255100
2017-11-28,5.010000,5.070000,5.000000,5.050000,4.750145,12832300
2017-11-29,5.030000,5.040000,4.960000,5.020000,4.721926,21255400
2017-11-30,4.980000,5.050000,4.970000,5.010000,4.712520,16616800
2017-12-01,4.950000,4.970000,4.900000,4.950000,4.656083,11759700
2017-12-04,4.790000,4.800000,4.730000,4.740000,4.458552,18383300
2017-12-05,4.760000,4.780000,4.700000,4.700000,4.420927,14754100
2017-12-06,4.700000,4.760000,4.680000,4.720000,4.439739,10901500
2017-12-07,4.690000,4.720000,4.620000,4.630000,4.355083,15909600
2017-12-08,4.630000,4.650000,4.610000,4.640000,4.364490,9519600
2017-12-11,4.600000,4.620000,4.570000,4.580000,4.308053,19692000
2017-12-12,4.560000,4.570000,4.510000,4.550000,4.279834,17256700
2017-12-13,4.630000,4.720000,4.620000,4.680000,4.402114,18893700
2017-12-14,4.650000,4.670000,4.610000,4.610000,4.336271,7906300
2017-12-15,4.640000,4.650000,4.580000,4.610000,4.336271,19009600
2017-12-18,4.680000,4.710000,4.670000,4.690000,4.411521,8309000
2017-12-19,4.720000,4.730000,4.660000,4.670000,4.392708,6291900
2017-12-20,4.640000,4.640000,4.600000,4.620000,4.345677,11700600
2017-12-21,4.700000,4.830000,4.690000,4.790000,4.505583,23144100
2017-12-22,4.820000,4.830000,4.750000,4.780000,4.496177,7492000
2017-12-26,4.770000,4.800000,4.740000,4.780000,4.496177,7646400
2017-12-27,4.720000,4.760000,4.700000,4.730000,4.449146,11006700
2017-12-28,4.700000,4.730000,4.690000,4.710000,4.430333,9542000
2017-12-29,4.690000,4.700000,4.660000,4.660000,4.383302,10836600
2018-01-02,4.720000,4.780000,4.680000,4.760000,4.477365,11234500
2018-01-03,4.790000,4.830000,4.780000,4.830000,4.543208,9007200
2018-01-04,4.880000,4.910000,4.860000,4.890000,4.599646,9894300
2018-01-05,4.870000,4.920000,4.840000,4.920000,4.627864,14412000
